step,global_index,pred,true,support_size,pool_size,pool_rmse,pool_r2
0,366,0.4013615440409631,-0.05620145425200462,11,1169,1.1231881006430195,-0.25151139699756864
1,614,0.296313663902444,2.9101758003234863,12,1168,1.1056247957078873,-0.22040459013580893
2,681,1.1736081134904797,-1.1498876810073853,13,1167,1.1226698116277742,-0.25866988069603813
3,989,0.594494155588737,-0.6147083044052124,14,1166,1.123523636581415,-0.2599137097882245
4,279,-0.009294323857563238,-0.1960834413766861,15,1165,1.1200628693591073,-0.2511320899715388
5,346,-0.044185470422171066,-0.8480727076530457,16,1164,1.1189923946170255,-0.24844191973330876
6,257,-0.12237328029272279,0.3789233863353729,17,1163,1.1317311393670717,-0.2760864844749753
7,360,0.13165359003817703,0.05187603458762169,18,1162,1.1281127373118385,-0.26685220128449694
8,573,0.12074797657241364,-0.08484655618667603,19,1161,1.1268045147657617,-0.26283602833727615
9,672,0.0770989959101673,-0.25043943524360657,20,1160,1.1271323674821394,-0.26255183685527417
10,220,-0.04035447174384427,-0.32714951038360596,21,1159,1.131384226153505,-0.2711167454430865
11,140,-0.10399026681897565,-0.8008702397346497,22,1158,1.1289956755206474,-0.26536343673542095
12,211,-0.19275159495626099,1.1262117624282837,23,1157,1.1209206573956108,-0.24760039534118583
13,285,0.6788535909637999,-0.23173829913139343,24,1156,1.1229743679776873,-0.2511526600625307
14,351,0.3893216198192489,1.54584538936615,25,1155,1.1267225405004144,-0.2610095781103756
15,382,0.7701729827022548,0.6973949670791626,26,1154,1.1235050735740484,-0.2532552840807003
16,418,0.7663785429673142,1.0313324928283691,27,1153,1.1260467067774076,-0.2589930398284894
17,527,0.8401812297248804,0.7050240635871887,28,1152,1.1263791333687132,-0.2591839838272707
18,794,0.813971884776379,0.7855342626571655,29,1151,1.129379806694791,-0.26547798960031854
19,830,0.8086782934961261,0.4181567132472992,30,1150,1.1219696475000807,-0.2480310091734279
20,945,0.754886935691507,0.2813040614128113,31,1149,1.1288498270741714,-0.2623731954908386
21,1156,0.7025929292075089,0.6190202236175537,32,1148,1.1189523465438531,-0.23966745487969132
22,83,0.042037970279026136,-0.33580946922302246,33,1147,1.121999844790835,-0.24546250924838398
23,464,-0.11736742085831307,0.3620379567146301,34,1146,1.1285783463107333,-0.2591559945111086
24,576,0.20666689203258126,0.8385986089706421,35,1145,1.126188376284457,-0.25350094443484017
25,707,0.5149852242488681,0.9794976115226746,36,1144,1.1251592260391639,-0.25116288186071634
26,1109,0.6998443229335879,0.1799546480178833,37,1143,1.1264587254281295,-0.25299513675626994
27,1163,0.578735211235328,0.6080535054206848,38,1142,1.1263998980368213,-0.2521748725104822
28,255,0.10100056759664075,0.7895093560218811,39,1141,1.1292390965952346,-0.25808022290782406
29,295,0.5387420857359546,0.8365488052368164,40,1140,1.1302011340346745,-0.2598942068558965
30,571,0.71487742446539,0.8909158110618591,41,1139,1.1293683794391791,-0.2578120234959289
31,702,0.8099694836668256,-1.1077473163604736,42,1138,1.1222367397147825,-0.24218959726061007
32,1160,0.3496271301513411,0.8396010994911194,43,1137,1.1296202758937832,-0.2582641962074097
33,62,0.05718309017483521,0.8645185232162476,44,1136,1.1280981140222623,-0.2545992546069229
34,139,0.6027161518577759,0.4665040075778961,45,1135,1.130590583208503,-0.25928628839925705
35,278,0.5980340927543006,0.547633171081543,46,1134,1.1363311348503382,-0.271327301790832
36,560,0.6093141194611421,0.5738891959190369,47,1133,1.1377554415740028,-0.27376825688489026
37,867,0.6138446487127776,0.39339208602905273,48,1132,1.1361841246142035,-0.26931020099516534
38,82,0.13945722004839858,0.8888853788375854,49,1131,1.1338998355937069,-0.2639820183698163
39,222,0.6321668255844256,0.7969638109207153,50,1130,1.135523479901048,-0.26720245868543646
40,330,0.7755279408217235,1.3152618408203125,51,1129,1.1425798443252169,-0.28383167028037426
41,362,0.9672448216884489,0.6892521381378174,52,1128,1.1377246942163115,-0.27236264107585884
42,645,0.9099658728458037,0.933471143245697,53,1127,1.1427162623076406,-0.2834166654049246
43,157,0.16807275648060652,-0.4845571219921112,54,1126,1.1372212998246725,-0.27022095337258345
44,602,-0.01872041753551904,-0.055612433701753616,55,1125,1.1342210819493335,-0.2624073426452611
45,1014,-0.09012630528161528,-0.13339628279209137,56,1124,1.1379419761360703,-0.2695903382509328
46,1049,-0.13286440325921178,-0.3872535526752472,57,1123,1.1378125977940226,-0.268327294238468
47,383,-0.15963004724722563,0.34809961915016174,58,1122,1.1348201580721755,-0.26068458809605044
48,492,0.15024720822894352,-0.11382163316011429,59,1121,1.1392850627660354,-0.2695029533476716
49,698,0.06891076797912309,0.04685211181640625,60,1120,1.1373174193153752,-0.2639972661770196
