step,global_index,pred,true,support_size,pool_size,pool_rmse,pool_r2
0,533,,2.36989164352417,11,1169,,
1,1173,,1.2704355716705322,12,1168,,
2,1170,,0.061314940452575684,13,1167,,
3,455,,-0.25928041338920593,14,1166,,
4,1123,,-0.39174824953079224,15,1165,,
5,975,,0.2379574030637741,16,1164,,
6,756,,3.3485770225524902,17,1163,,
7,987,,-0.8226553797721863,18,1162,,
8,903,,0.001559327356517315,19,1161,,
9,1149,,-0.08300286531448364,20,1160,,
10,459,,-0.9950872659683228,21,1159,,
11,93,,4.313500881195068,22,1158,,
12,540,,-0.08721645176410675,23,1157,,
13,378,,-0.3556746244430542,24,1156,,
14,579,,-0.499246209859848,25,1155,,
15,1083,,-0.39838650822639465,26,1154,,
16,1137,,-0.6606523394584656,27,1153,,
17,797,,-0.5028673410415649,28,1152,,
18,749,,-0.9929856061935425,29,1151,,
19,338,,-0.015465949662029743,30,1150,,
20,17,,-1.077235221862793,31,1149,,
21,463,,2.271613121032715,32,1148,,
22,539,,-1.2716618776321411,33,1147,,
23,275,,4.148872375488281,34,1146,,
24,936,,-0.7285284996032715,35,1145,,
25,199,,0.6832934021949768,36,1144,,
26,570,,-1.0860681533813477,37,1143,,
27,183,,-1.2044874429702759,38,1142,,
28,414,,-0.374031662940979,39,1141,,
29,1147,,3.6838791370391846,40,1140,,
30,790,,0.05196461081504822,41,1139,,
31,503,,-0.32977649569511414,42,1138,,
32,262,,-1.1246930360794067,43,1137,,
33,76,,-0.598588764667511,44,1136,,
34,1038,,-0.32081127166748047,45,1135,,
35,586,,1.3069788217544556,46,1134,,
36,737,,0.26484400033950806,47,1133,,
37,343,,-0.022005898877978325,48,1132,,
38,68,,-0.4125361442565918,49,1131,,
39,253,,-0.46638223528862,50,1130,,
40,165,,-1.0652101039886475,51,1129,,
41,249,,-0.601799488067627,52,1128,,
42,172,,0.052083730697631836,53,1127,,
43,688,,-0.7344561219215393,54,1126,,
44,138,,0.8530892133712769,55,1125,,
45,702,,-1.1077473163604736,56,1124,,
46,678,,-0.3572520613670349,57,1123,,
47,1047,,0.11535772681236267,58,1122,,
48,575,,-1.2107058763504028,59,1121,,
49,133,,3.87705397605896,60,1120,,
50,387,,-1.1004124879837036,61,1119,,
51,595,,-0.0195323433727026,62,1118,,
52,367,,-0.2196718156337738,63,1117,,
53,349,,0.2845638692378998,64,1116,,
54,303,,-0.15308956801891327,65,1115,,
55,583,,-0.20093341171741486,66,1114,,
56,1061,,-0.3906018137931824,67,1113,,
57,1116,,-0.6475682854652405,68,1112,,
58,843,,0.5195366144180298,69,1111,,
59,1091,,-0.4998323321342468,70,1110,,
60,1175,,-0.2220618575811386,71,1109,,
61,896,,-0.6256626844406128,72,1108,,
62,1014,,-0.13339628279209137,73,1107,,
63,921,,-0.7356751561164856,74,1106,,
64,551,,-0.23914344608783722,75,1105,,
65,331,,-0.5187646150588989,76,1104,,
66,1107,,0.040404047816991806,77,1103,,
67,617,,-0.8401753902435303,78,1102,,
68,135,,-0.19639883935451508,79,1101,,
69,947,,-0.27826040983200073,80,1100,,
70,77,,-0.6088101863861084,81,1099,,
71,901,,0.26924556493759155,82,1098,,
72,339,,0.23718689382076263,83,1097,,
73,681,,-1.1498876810073853,84,1096,,
74,741,,-1.2771475315093994,85,1095,,
75,1002,,0.3289816677570343,86,1094,,
76,1122,,-0.8828964233398438,87,1093,,
77,1001,,-0.2402450442314148,88,1092,,
78,548,,2.5300064086914062,89,1091,,
79,440,,0.1142706573009491,90,1090,,
80,573,,-0.08484655618667603,91,1089,,
81,541,,-1.1966861486434937,92,1088,,
82,404,,-0.30539801716804504,93,1087,,
83,358,,0.21180899441242218,94,1086,,
84,411,,-0.44667571783065796,95,1085,,
85,954,,-1.2771475315093994,96,1084,,
86,368,,0.9678145051002502,97,1083,,
87,591,,0.2638305425643921,98,1082,,
88,198,,-1.274536371231079,99,1081,,
89,669,,-0.46733802556991577,100,1080,,
90,1100,,0.1354355663061142,101,1079,,
91,572,,0.10543806105852127,102,1078,,
92,481,,-0.020906271412968636,103,1077,,
93,299,,-0.8916749358177185,104,1076,,
94,340,,-0.1638946682214737,105,1075,,
95,1159,,-0.8264908790588379,106,1074,,
